Pair	ROI	Y
P02	17Networks_LH_VisCent_ExStr_4	0.9705
P03	17Networks_LH_VisCent_ExStr_4	-0.3271
P04	17Networks_LH_VisCent_ExStr_4	0.0707
P05	17Networks_LH_VisCent_ExStr_4	-0.3462
P06	17Networks_LH_VisCent_ExStr_4	-0.4582
P07	17Networks_LH_VisCent_ExStr_4	0.4294
P08	17Networks_LH_VisCent_ExStr_4	0.9550
P09	17Networks_LH_VisCent_ExStr_4	-1.1930
P10	17Networks_LH_VisCent_ExStr_4	0.5725
P11	17Networks_LH_VisCent_ExStr_4	-0.3970
P12	17Networks_LH_VisCent_ExStr_4	0.3583
P13	17Networks_LH_VisCent_ExStr_4	-0.1509
P14	17Networks_LH_VisCent_ExStr_4	-0.4621
P15	17Networks_LH_VisCent_ExStr_4	0.8446
P16	17Networks_LH_VisCent_ExStr_4	0.2316
P17	17Networks_LH_VisCent_ExStr_4	-0.4271
P18	17Networks_LH_VisCent_ExStr_4	0.3697
P19	17Networks_LH_VisCent_ExStr_4	-0.3371
P20	17Networks_LH_VisCent_ExStr_4	-0.3294
P21	17Networks_LH_VisCent_ExStr_4	-0.1741
P22	17Networks_LH_VisCent_ExStr_4	0.4906
P23	17Networks_LH_VisCent_ExStr_4	-0.2212
P24	17Networks_LH_VisCent_ExStr_4	0.2788
P25	17Networks_LH_VisCent_ExStr_4	0.3873
P26	17Networks_LH_VisCent_ExStr_4	0.0430
P27	17Networks_LH_VisCent_ExStr_4	-0.0271
P28	17Networks_LH_VisCent_ExStr_4	0.7242
P29	17Networks_LH_VisCent_ExStr_4	0.1051
P30	17Networks_LH_VisCent_ExStr_4	0.4195
P31	17Networks_LH_VisCent_ExStr_4	-0.0607
P32	17Networks_LH_VisCent_ExStr_4	-1.5847
P33	17Networks_LH_VisCent_ExStr_4	-0.5520
P34	17Networks_LH_VisCent_ExStr_4	0.4042
P35	17Networks_LH_VisCent_ExStr_4	0.4660
P36	17Networks_LH_VisCent_ExStr_4	0.4086
P37	17Networks_LH_VisCent_ExStr_4	0.0937
P38	17Networks_LH_VisCent_ExStr_4	1.3916
P39	17Networks_LH_VisCent_ExStr_4	0.2715
P40	17Networks_LH_VisCent_ExStr_4	-0.6228
P41	17Networks_LH_VisCent_ExStr_4	-0.0531
P42	17Networks_LH_VisCent_ExStr_4	0.1478
P43	17Networks_LH_VisCent_ExStr_4	0.9528
P44	17Networks_LH_VisCent_ExStr_4	0.0078
P45	17Networks_LH_VisCent_ExStr_4	-0.1300
P46	17Networks_LH_VisCent_ExStr_4	-0.4610
P47	17Networks_LH_VisCent_ExStr_4	-0.5780
P48	17Networks_LH_VisCent_ExStr_4	0.9092
P49	17Networks_LH_VisCent_ExStr_4	0.1081
