signNearest,signNear,signFar,magNearest,magNear,magFar,signXmagNearest,signXmagNear,signXmagFar,v_motion,onset_block,offset_block,shock,Pair,Subject,Group,ROI
0.0239835,0.00496314,-0.00617633,-0.0150383,-0.0392211,-0.0198704,0.0472844,0.0279877,0.0199829,0.00591133,-0.0120032,0.168077,0.396182,0,CON031,uncontrol,rCa
0.071315,-0.0108628,0.0200062,0.0421148,-0.0202511,-0.0279651,0.0818598,0.0264679,0.0229693,-0.00763136,-0.0308845,0.33759,0.255183,0,CON031,uncontrol,lCa
0.0250344,-0.0174203,-0.00426631,-0.00782001,-0.018433,0.0278379,0.0112927,0.0109512,0.051077,0.0194245,0.12943,0.15514,0.389171,0,CON031,uncontrol,rPa
0.0589542,0.00978176,-0.00405193,0.00510562,-0.0497001,-0.0166941,0.0408946,0.0203304,0.0357745,0.000951858,-0.0572307,0.176941,0.3552,0,CON031,uncontrol,lPa
0.071315,-0.0108628,0.0200062,0.0421148,-0.0202511,-0.0279651,0.0818598,0.0264679,0.0229693,-0.00763136,-0.0308845,0.33759,0.255183,0,CON031,uncontrol,rVS
0.0250344,-0.0174203,-0.00426631,-0.00782001,-0.018433,0.0278379,0.0112927,0.0109512,0.051077,0.0194245,0.12943,0.15514,0.389171,0,CON031,uncontrol,lVS
-0.00762482,-0.0202249,0.02529,0.0248419,-0.0425975,-0.0411582,0.0393553,-0.0346374,0.0558437,0.00361343,0.00469235,-0.421929,-0.0310764,1,CON002,control,vmPFC
0.01056,0.0477927,0.0236135,0.0189776,0.0159195,0.027222,0.00822473,0.0349826,0.0159174,-0.0067634,0.477372,0.460813,0.343354,1,CON002,control,PCC1
-0.00830105,-0.0203308,0.0338954,0.00553429,-0.0414073,-0.0124869,0.0135547,-0.0489585,0.0391669,0.00155226,-0.30361,-0.774108,-0.314477,1,CON002,control,PCC2
0.0482307,0.0172578,-0.00520182,0.0265702,-0.00221611,0.0175339,-0.0120064,0.0909362,-0.0644462,-0.00993991,0.236397,0.120955,0.707898,1,CON002,control,rPAG1
0.0878894,0.0128877,0.0559123,0.0489038,0.0671622,-0.015782,0.0406232,-0.0359023,0.00604148,0.0101482,0.44515,-0.128518,0.24316,1,CON002,control,lPAG1
0.129745,0.0494971,-0.00940301,0.0399565,0.0409044,0.0096072,-0.0404428,0.07135,-0.0034316,-0.0223748,0.828081,0.238696,0.824822,1,CON002,control,rvAI
0.109416,0.0308584,-0.0112009,0.0613622,0.0341687,0.0168716,-0.0187988,0.0544101,-0.0108485,-0.0157058,0.740734,0.256917,1.63536,1,CON002,control,rdAI
0.232681,0.145892,0.000182211,0.0415752,0.0890521,0.0621824,-0.0575408,0.0711962,0.0281163,-0.0060515,1.29227,0.794388,0.768762,1,CON002,control,lvAI
0.103145,0.03482,-0.0133593,0.0535758,0.0334065,0.00862431,-0.0148528,0.0313808,0.000833217,-0.0154653,0.620583,0.285245,0.839788,1,CON002,control,ldAI
0.0543256,-0.0224206,0.00562965,0.036755,0.000333297,0.0208581,0.0257193,-0.00966217,0.00705553,-0.00313621,0.325935,0.0144294,0.778731,1,CON002,control,rPI
0.0614419,0.0173209,0.0126465,0.031768,0.00857578,0.0132035,0.00793378,0.000811753,0.004418,-0.00329447,0.44447,-0.109227,0.725467,1,CON002,control,lPI
0.302597,0.30859,0.0201312,-0.0123128,0.0321633,0.00420514,-0.0606891,0.145296,-0.0243995,-0.0224449,0.654938,-0.108526,0.770967,1,CON002,control,rBNST
0.0836731,0.115483,0.00205108,0.0350523,0.0936394,0.0465586,0.0217972,0.0380863,0.0161949,0.0267133,0.413835,0.0307559,0.0743729,1,CON002,control,lBNST
0.056964,0.0349831,0.00183112,0.0414467,0.0154901,0.0147725,-0.00747172,0.0235695,0.00324206,-0.00702576,0.460313,0.228453,0.726613,1,CON002,control,ACC
-0.00325596,0.0220081,-0.042259,0.0126108,-0.0118529,0.0195046,-0.0160622,0.021206,0.00573158,-0.000955399,0.984329,0.139008,0.363922,1,CON002,control,Amygdala_BLBM_La_R
0.1424,0.0101618,-0.00809089,0.035015,-0.000710092,0.0207101,0.0470596,0.0690784,-0.0365423,-0.011453,0.582012,0.258921,1.59508,1,CON002,control,Amygdala_CeME_R
-0.00372739,-0.000291142,0.0076597,-0.0113617,0.0256618,0.0163351,0.0125179,0.0126872,-0.0171302,-0.000780785,0.661456,0.0909626,0.0943694,1,CON002,control,Amygdala_BLBM_La_L
0.091845,-0.00601936,-0.00692687,0.0191124,0.0465957,-0.0180829,0.0747002,-0.00458675,-0.00135613,0.0131225,0.736763,-0.0580569,0.41697,1,CON002,control,Amygdala_CeME_L
0.0957632,0.0492312,0.019031,0.0325071,0.00429105,0.0189463,0.0194085,0.028485,0.00699911,-0.00877144,0.408028,0.217453,0.279723,1,CON002,control,rCa
0.146032,0.0686056,0.0107047,0.0966773,0.027008,0.0287657,0.00132975,0.0130505,0.0190028,-0.000345184,0.592647,0.0204597,0.166463,1,CON002,control,lCa
0.0367437,0.0714547,-0.0124333,0.0402083,-0.0465668,-0.00903714,0.0180546,0.0388926,0.000434418,-0.00841789,0.490184,0.314885,0.148607,1,CON002,control,rPa
0.139433,0.047888,0.0323222,0.0591812,0.02409,0.0391141,0.0179286,0.00580182,0.0127593,-0.00687309,0.560822,0.208327,0.293931,1,CON002,control,lPa
0.146032,0.0686056,0.0107047,0.0966773,0.027008,0.0287657,0.00132975,0.0130505,0.0190028,-0.000345184,0.592647,0.0204597,0.166463,1,CON002,control,rVS
0.0367437,0.0714547,-0.0124333,0.0402083,-0.0465668,-0.00903714,0.0180546,0.0388926,0.000434418,-0.00841789,0.490184,0.314885,0.148607,1,CON002,control,lVS
0.0368196,0.0131613,-0.0121869,-0.00527667,0.0131255,-0.0205286,-0.00871373,0.00505442,0.0097659,0.00429272,0.172114,-0.106838,-0.312602,1,CON021,uncontrol,vmPFC
0.0254664,0.0155456,0.0142228,-0.0156949,0.0251218,0.0179063,-0.00416033,0.00821014,-0.00546907,0.0100891,0.514636,-0.131168,-0.0150021,1,CON021,uncontrol,PCC1
0.0477872,-0.0374652,-0.00719464,0.0284504,-0.0216747,-0.00938142,0.0289451,-0.0179999,0.0413232,0.0258984,0.0939512,-0.37484,-0.672903,1,CON021,uncontrol,PCC2
0.0743717,0.0146976,-0.0175214,0.0400263,0.0132211,-0.00214142,-0.00204774,0.0471422,0.03263,-0.0034194,0.217005,-0.0235441,0.9306,1,CON021,uncontrol,rPAG1
0.065078,0.0115081,0.0587804,0.0177778,-0.0119155,0.0223701,-0.00327507,-0.0190037,-0.0103326,-0.0107803,0.387359,0.049179,0.831053,1,CON021,uncontrol,lPAG1
0.0575893,0.053416,-0.0368585,0.0378508,0.0278152,0.0357901,-0.0550019,0.0297378,-0.0250955,-0.0205344,0.362209,0.99343,1.10302,1,CON021,uncontrol,rvAI
0.0217757,0.0487005,-0.00464414,0.0162654,0.00773378,0.0191777,-0.0584099,0.0367205,-0.00627647,-0.0214822,0.309463,0.47041,1.62079,1,CON021,uncontrol,rdAI
0.021075,0.0427566,-0.0446906,0.0140538,0.0413911,0.0246813,0.00434104,0.0376175,-0.0291786,-0.0018763,0.322613,0.495043,0.628817,1,CON021,uncontrol,lvAI
0.0537733,0.0941862,0.00789177,0.0285926,0.0106075,0.0250098,-0.0550034,0.0455158,-0.017507,-0.0237047,0.513368,0.462806,1.99988,1,CON021,uncontrol,ldAI
0.0147806,0.00613703,-0.00398489,0.0078423,-0.0173928,0.0119554,-0.0190705,0.0111215,-0.00795315,-0.011006,0.0963733,0.0468746,1.08258,1,CON021,uncontrol,rPI
0.0257221,0.0124296,-0.00569625,0.00821062,-0.00799132,0.0107463,-0.0220254,0.000202213,-0.00463651,-0.00854396,0.205774,0.0187584,1.10948,1,CON021,uncontrol,lPI
0.0811892,-0.0135927,0.00300743,0.0289786,-0.0273991,0.0072541,0.0567819,0.0276584,0.0528737,-0.00135537,0.507312,-0.155403,0.0970877,1,CON021,uncontrol,rBNST
0.200852,0.0637307,-0.0298343,0.100292,-0.0628161,-0.0301799,0.0674351,0.0483066,0.00923871,-0.0231433,0.523678,0.256368,0.988635,1,CON021,uncontrol,lBNST
0.0186511,0.0427925,-0.0102025,0.00839236,-0.0078475,0.00668146,-0.0347881,0.0123683,-0.00106557,-0.0103313,0.349999,0.148792,0.977422,1,CON021,uncontrol,ACC
0.0322053,-0.00744708,0.0042521,0.0194083,0.00536096,0.0165185,0.0347349,0.00518527,-0.00538018,-0.0159234,0.219488,-0.056597,0.499325,1,CON021,uncontrol,Amygdala_BLBM_La_R
0.106129,0.0555718,-0.0373199,0.0107077,0.0193339,-0.00136553,0.0397241,-0.00216255,0.0202849,-0.033241,0.161706,-0.0939501,1.46951,1,CON021,uncontrol,Amygdala_CeME_R
-0.0232275,-0.0430672,0.080045,0.193047,-0.0251269,-0.0709295,-0.0570621,0.0349982,-0.018908,-0.00653375,-0.15013,0.58058,0.717683,1,CON021,uncontrol,Amygdala_BLBM_La_L
0.0626287,-0.0697993,-0.00344178,0.00211667,-0.0654868,-0.0245483,-0.013684,-0.0491277,0.0423864,0.0113941,-0.0932643,-0.506037,0.529843,1,CON021,uncontrol,Amygdala_CeME_L
0.0387544,0.0742757,0.012631,0.0122407,-0.0138843,0.00503567,0.00895306,0.0271178,-0.0112076,-0.0254117,0.165586,0.187872,0.325529,1,CON021,uncontrol,rCa
0.0701701,0.0404564,-0.00483573,0.0413082,-0.0101622,0.00167183,0.0135343,0.0224976,0.00344615,-0.0091554,0.261622,-0.0687231,0.478082,1,CON021,uncontrol,lCa
0.00941571,0.0458733,0.0105717,0.0460308,-0.0136599,-0.00907734,-0.0158019,0.0230748,-0.00608443,-0.0223912,0.208568,0.285066,0.557659,1,CON021,uncontrol,rPa
0.038614,0.0800021,-0.00223238,0.0218401,-0.00718529,-0.00182736,0.0172044,0.0290701,-8.02316e-05,-0.0105774,0.146229,0.0500566,0.358947,1,CON021,uncontrol,lPa
0.0701701,0.0404564,-0.00483573,0.0413082,-0.0101622,0.00167183,0.0135343,0.0224976,0.00344615,-0.0091554,0.261622,-0.0687231,0.478082,1,CON021,uncontrol,rVS
0.00941571,0.0458733,0.0105717,0.0460308,-0.0136599,-0.00907734,-0.0158019,0.0230748,-0.00608443,-0.0223912,0.208568,0.285066,0.557659,1,CON021,uncontrol,lVS
-0.0646799,0.0428232,-0.00101105,0.0213166,0.0200198,-0.033078,-0.0109303,0.0275756,0.00794656,0.0109297,0.501897,0.242291,0.196039,2,CON003,control,vmPFC
-0.0922866,0.0596218,0.0173662,-0.0326729,0.0308477,-0.0585702,0.0117712,0.00401315,0.016399,-0.0285781,0.618048,0.495444,0.0347452,2,CON003,control,PCC1
-0.0689826,-0.0240227,0.0602848,-0.0237515,0.0383208,-0.0204853,0.0460445,-0.0223186,0.0625515,-0.0102796,0.426321,0.314689,-0.0609862,2,CON003,control,PCC2
