	Pair	ROI	Y
44	P44	17Networks_LH_VisCent_ExStr_1	-0.17570799999999998
45	P45	17Networks_LH_VisCent_ExStr_1	-0.06381199999999998
46	P46	17Networks_LH_VisCent_ExStr_1	-0.35223099999999996
47	P47	17Networks_LH_VisCent_ExStr_1	0.13900899999999994
48	P48	17Networks_LH_VisCent_ExStr_1	1.2468180000000002
49	P49	17Networks_LH_VisCent_ExStr_1	0.334932
50	P50	17Networks_LH_VisCent_ExStr_1	0.08054599999999998
51	P51	17Networks_LH_VisCent_ExStr_1	-0.21851600000000002
52	P52	17Networks_LH_VisCent_ExStr_1	-0.137591
53	P53	17Networks_LH_VisCent_ExStr_1	0.02933399999999997
54	P54	17Networks_LH_VisCent_ExStr_1	0.29104800000000003
55	P55	17Networks_LH_VisCent_ExStr_1	1.503989
56	P56	17Networks_LH_VisCent_ExStr_1	-0.33766699999999994
57	P57	17Networks_LH_VisCent_ExStr_1	0.10538800000000004
58	P58	17Networks_LH_VisCent_ExStr_1	0.7484805
59	P59	17Networks_LH_VisCent_ExStr_1	-0.23559999999999992
60	P60	17Networks_LH_VisCent_ExStr_1	2.527632
61	P00	17Networks_LH_VisCent_ExStr_2	0.493757
62	P01	17Networks_LH_VisCent_ExStr_2	-0.08529900000000001
63	P02	17Networks_LH_VisCent_ExStr_2	0.459959
64	P03	17Networks_LH_VisCent_ExStr_2	0.377474
65	P04	17Networks_LH_VisCent_ExStr_2	0.88818
66	P05	17Networks_LH_VisCent_ExStr_2	-0.21199800000000002
67	P06	17Networks_LH_VisCent_ExStr_2	-0.369447
68	P07	17Networks_LH_VisCent_ExStr_2	-0.5787563
69	P08	17Networks_LH_VisCent_ExStr_2	0.22134200000000004
70	P09	17Networks_LH_VisCent_ExStr_2	-0.14846500000000007
71	P10	17Networks_LH_VisCent_ExStr_2	0.42100000000000004
72	P11	17Networks_LH_VisCent_ExStr_2	-0.23097100000000004
73	P12	17Networks_LH_VisCent_ExStr_2	-0.17121500000000003
74	P13	17Networks_LH_VisCent_ExStr_2	0.052701999999999916
75	P14	17Networks_LH_VisCent_ExStr_2	-0.49222800000000005
76	P15	17Networks_LH_VisCent_ExStr_2	0.03404000000000007
77	P16	17Networks_LH_VisCent_ExStr_2	-0.41579599999999994
78	P17	17Networks_LH_VisCent_ExStr_2	-0.04150100000000001
79	P18	17Networks_LH_VisCent_ExStr_2	-0.455082
80	P19	17Networks_LH_VisCent_ExStr_2	0.07733800000000002
81	P20	17Networks_LH_VisCent_ExStr_2	-0.843461
82	P21	17Networks_LH_VisCent_ExStr_2	-0.73108
83	P22	17Networks_LH_VisCent_ExStr_2	-0.20022600000000002
